cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,112,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,113,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,114,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,115,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,116,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,117,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,118,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,119,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,120,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,121,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,122,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,123,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,124,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,125,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,126,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,127,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F1_WRONG_CAPABILITY_CLASS,0,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,1,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,2,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,3,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,4,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,5,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,6,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,7,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,8,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,9,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,10,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,11,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,12,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,13,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,14,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,15,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,16,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,17,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,18,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,19,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,20,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,21,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,22,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,23,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,24,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,25,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,26,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,27,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,28,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,29,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,30,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,31,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,32,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,33,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,34,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,35,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,36,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,37,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,38,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,39,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
