seed,context,gamma,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,max_efficiency_error,counterfactual_structural_evaluations
1032,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.5903622779752106e-16,0.5,4.317270463292018e-17,4.317270463292018e-17,4.317270463292018e-17,1.1102230246251565e-16,20736
1032,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7085004575429639,0.41706215616771863,0.8718394422328255,0.08496450795470306,0.05688110049221816,1.1102230246251565e-16,20736
1032,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1032,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1033,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.754017513714214e-16,0.5,4.590029189523691e-17,4.590029189523691e-17,4.590029189523691e-17,1.1102230246251565e-16,20736
1033,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6895238607583475,0.4060987808837088,0.8688080958884655,0.01624019251702103,0.016840017498270524,1.1102230246251565e-16,20736
1033,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1033,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1034,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.6744726496375627e-16,0.5,4.4574544160626055e-17,4.4574544160626055e-17,4.4574544160626055e-17,1.1102230246251565e-16,20736
1034,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7030064022496828,0.4157127911598559,0.8798972358354249,0.013265149349130501,0.09086136447269415,1.1102230246251565e-16,20736
1034,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1034,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1035,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.803916224636965e-16,0.5,4.673193707728275e-17,4.673193707728275e-17,4.673193707728275e-17,1.1102230246251565e-16,20736
1035,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6526892902280035,0.49486775693466173,0.8809438198392253,0.03337160400902303,0.015672842976143454,1.1102230246251565e-16,20736
1035,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1035,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
