cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_beta_set_kind,unrestricted_exact_equivalent_count,unrestricted_finite_grid_beta_min,unrestricted_finite_grid_beta_max,unrestricted_finite_grid_beta_diameter,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,direct_interval_exists,direct_interval_lower,direct_interval_upper,direct_interval_width,material_countermodel_within_bound,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,R0_VALID,91037,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7706352394605875,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6262923830587674,0.913910759797047,0.2876183767382795,False,False,False
PRIMARY,R0_VALID,91038,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7868885343887051,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6408085276471424,0.9328620573787625,0.29205352973162013,False,False,False
PRIMARY,R0_VALID,91039,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7982382758623933,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6504581546465836,0.9458279460289362,0.29536979138235253,False,False,False
PRIMARY,R0_VALID,91040,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8307295120998343,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6875888995539869,0.9738924634134807,0.28630356385949374,False,False,False
PRIMARY,R0_VALID,91041,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7809497379882511,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6349694611196857,0.9252491172851823,0.29027965616549667,False,False,False
PRIMARY,R0_VALID,91042,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8134709964009654,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6688125210661169,0.957716145262381,0.28890362419626414,False,False,False
PRIMARY,R0_VALID,91043,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7797465204431424,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.635351774109687,0.9226798067136077,0.2873280326039207,False,False,False
PRIMARY,R0_VALID,91044,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8159354481354855,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,15,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6712376705847695,0.9604753859439901,0.2892377153592206,False,False,False
PRIMARY,R0_VALID,91045,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8112046378493232,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6723761740447638,0.9473539692142321,0.2749777951694683,False,False,False
PRIMARY,R0_VALID,91046,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8123768072587368,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6635438501340793,0.9612104280929769,0.2976665779588975,False,False,False
