cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_exact_equivalent_count,unrestricted_constrained_survivor_count,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,constrained_survivor_count,near_true_beta_countermodel,near_true_beta_path_error,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,C0_VALID,71044,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7958465504835944,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71045,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8067301870992409,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71046,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7678606371769993,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71047,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8094264067975039,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71048,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8022122509035997,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71049,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8201737843911637,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71050,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7989161611476842,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71051,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8060617963119184,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71052,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7848929045082034,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,15,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71053,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8023488905698669,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
