seed,split,model,horizon,mse
2018,ID,DYNAMIC_HISTORY,1,0.021717641806791383
2018,ID,DYNAMIC_HISTORY,2,0.05644762856110356
2018,ID,DYNAMIC_HISTORY,4,0.19202242709148537
2018,ID,DYNAMIC_HISTORY,8,0.7831723116755562
2018,ID,LEAKAGE_ORACLE,1,2.1291436278072244e-12
2018,OOD,STATELESS,1,7.582866278780698
2018,OOD,STATELESS,2,26.66105474616208
2018,OOD,STATELESS,4,86.5795154958326
2018,OOD,STATELESS,8,241.48189600210236
2018,OOD,DYNAMIC_HISTORY,1,0.3804707869869053
2018,OOD,DYNAMIC_HISTORY,2,2.841518573987081
2018,OOD,DYNAMIC_HISTORY,4,22.57381414887491
2018,OOD,DYNAMIC_HISTORY,8,162.71828014085477
2018,OOD,LEAKAGE_ORACLE,1,5.659799709976863e-12
2019,ID,STATELESS,1,12.321801171652789
2019,ID,STATELESS,2,45.82682649060406
2019,ID,STATELESS,4,167.5374110862446
2019,ID,STATELESS,8,547.3328186042119
2019,ID,DYNAMIC_HISTORY,1,0.01837648605723192
2019,ID,DYNAMIC_HISTORY,2,0.05361617549036234
2019,ID,DYNAMIC_HISTORY,4,0.21942893410177783
2019,ID,DYNAMIC_HISTORY,8,0.8673970375546212
2019,ID,LEAKAGE_ORACLE,1,2.338113321096136e-12
2019,OOD,STATELESS,1,6.750904436889066
2019,OOD,STATELESS,2,21.20160367460591
2019,OOD,STATELESS,4,63.9702295061525
2019,OOD,STATELESS,8,169.98228830924526
2019,OOD,DYNAMIC_HISTORY,1,0.3557688864870274
2019,OOD,DYNAMIC_HISTORY,2,2.620170665766453
2019,OOD,DYNAMIC_HISTORY,4,21.03945781163488
2019,OOD,DYNAMIC_HISTORY,8,136.25542535306477
2019,OOD,LEAKAGE_ORACLE,1,5.893309908747075e-12
2020,ID,STATELESS,1,11.16950504694661
2020,ID,STATELESS,2,41.004935003993126
2020,ID,STATELESS,4,143.0641675487905
2020,ID,STATELESS,8,486.61913182259605
2020,ID,DYNAMIC_HISTORY,1,0.020935555282570725
2020,ID,DYNAMIC_HISTORY,2,0.05596839689335986
2020,ID,DYNAMIC_HISTORY,4,0.17032410114143198
2020,ID,DYNAMIC_HISTORY,8,0.6350488418561353
2020,ID,LEAKAGE_ORACLE,1,2.273104205006648e-12
2020,OOD,STATELESS,1,7.971553369083312
2020,OOD,STATELESS,2,25.977661618949256
2020,OOD,STATELESS,4,76.92866605503994
2020,OOD,STATELESS,8,225.44906285638262
2020,OOD,DYNAMIC_HISTORY,1,0.4286696928004464
2020,OOD,DYNAMIC_HISTORY,2,3.2837230704516145
2020,OOD,DYNAMIC_HISTORY,4,26.788291370490786
2020,OOD,DYNAMIC_HISTORY,8,204.54579441867287
2020,OOD,LEAKAGE_ORACLE,1,5.5441970109384745e-12
2021,ID,STATELESS,1,11.928980271188763
2021,ID,STATELESS,2,45.01393617004692
2021,ID,STATELESS,4,161.20990816513856
2021,ID,STATELESS,8,492.176597088838
2021,ID,DYNAMIC_HISTORY,1,0.018400417747313783
2021,ID,DYNAMIC_HISTORY,2,0.052586907423440986
2021,ID,DYNAMIC_HISTORY,4,0.20948308438171823
2021,ID,DYNAMIC_HISTORY,8,0.6857796194701682
2021,ID,LEAKAGE_ORACLE,1,2.255574649758866e-12
2021,OOD,STATELESS,1,7.610794826536374
2021,OOD,STATELESS,2,24.592522883892993
2021,OOD,STATELESS,4,74.88832730567577
2021,OOD,STATELESS,8,200.80727617842325
2021,OOD,DYNAMIC_HISTORY,1,0.39319806067043445
